ZIP_Code,Insurance_Type,Income,Food_Access
60601,Private,47082,Low
60645,Medicaid,66007,Low
60629,Governmental,21828,High
60645,Uninsured,51966,High
60604,Self-Insured,78807,High
60611,Private,61873,Low
60615,Medicaid,53660,Moderate
60643,Medicaid,24133,High
60655,Uninsured,51290,High
60643,Private,34561,Moderate
60613,Uninsured,79452,Moderate
60656,Medicaid,46572,Moderate
60661,Governmental,43821,Moderate
60615,Self-Insured,71888,High
60640,Private,38850,High
60631,Medicaid,59692,High
60632,Medicaid,41727,Low
60629,Governmental,35585,High
60655,Private,54701,High
60652,Governmental,65539,Moderate
60654,Private,42534,Low
60608,Self-Insured,37320,Low
60622,Uninsured,43874,High
60605,Self-Insured,45931,Moderate
60626,Medicaid,41427,Moderate
60639,Medicaid,51575,High
60654,Governmental,60600,Moderate
60607,Self-Insured,20806,Low
60652,Uninsured,77932,Moderate
60601,Medicaid,78250,High
60607,Private,41195,Moderate
60614,Medicaid,48841,Low
60636,Private,40953,Low
60659,Self-Insured,37764,High
60629,Uninsured,38088,Moderate
60605,Self-Insured,40695,Low
60601,Medicaid,67054,Low
60610,Private,68874,Moderate
60638,Medicaid,56509,High
60661,Medicaid,49192,Moderate
60615,Uninsured,67638,Low
60638,Private,36661,Low
60654,Medicaid,52123,Moderate
60639,Private,25295,Low
60655,Uninsured,45559,High
60610,Private,40670,Low
60601,Governmental,60059,Low
60661,Private,38546,Moderate
60639,Private,79720,Low
60625,Medicaid,67054,Low
60630,Governmental,67182,High
60640,Self-Insured,21591,Moderate
